time_start	duration	fade	behavior	params_start	params_end							
0	2.5	0	motor_homing									
2.5	10	0	sine	theta_velocity=0.78 frequency_phi=0.6 amplitude_phi=40 bias_phi=75 phase_shift=1 phase_theta=0	theta_velocity=0.7 frequency_phi=0.6 amplitude_phi=40 bias_phi=75 phase_shift=0 phase_theta=0							
12.5	0.1	0	sine	theta_velocity=0.7	theta_velocity=-0.7							
13.5	10	0	sine	theta_velocity=-0.7 frequency_phi=0.4 amplitude_phi=40 bias_phi=75 phase_shift=1 phase_theta=0	theta_velocity=-0.78 frequency_phi=0.6 amplitude_phi=40 bias_phi=75 phase_shift=0 phase_theta=0							
23	0.1	0 	sine	theta_velocity=-0.78	theta_velocity=0.78							
24	10	0	sine	theta_velocity=0.78 frequency_phi=0.4 amplitude_phi=40 bias_phi=75 phase_shift=1 phase_theta=0	theta_velocity=0.7 frequency_phi=0.6 amplitude_phi=40 bias_phi=75 phase_shift=0 phase_theta=0							
